mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Roxbury Crossing,place-rcmnl,62322,22819,77,809,296,6305,5026
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_09,NIGHT,Roxbury Crossing,place-rcmnl,442,178,77,6,2,45,5027
1,Fall 2019,Orange,Orange Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,State Street,place-state,46070,27359,12,3839,2280,16976,5029
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Oak Grove,place-ogmnl,0,3882,77,0,50,0,5030
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Ruggles,place-rugg,99466,50478,77,1292,656,6942,5031
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_09,NIGHT,Ruggles,place-rugg,1635,415,77,21,5,60,5032
1,Fall 2019,Orange,Orange Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,Sullivan Square,place-sull,38555,6733,12,3213,561,13921,5034
1,Fall 2019,Orange,Orange Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,Tufts Medical Center,place-tumnl,9548,19681,12,796,1640,13642,5035
1,Fall 2019,Orange,Orange Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,Wellington,place-welln,36572,2607,12,3048,217,9692,5036
1,Fall 2019,Orange,Orange Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Assembly,place-astao,13734,3829,8,1717,479,8981,5037
1,Fall 2019,Orange,Orange Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Back Bay,place-bbsta,10556,26895,8,1320,3362,8170,5038
1,Fall 2019,Orange,Orange Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Community College,place-ccmnl,6276,3464,8,785,433,11390,5039
1,Fall 2019,Orange,Orange Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Chinatown,place-chncl,6316,13237,8,790,1655,10956,5040
1,Fall 2019,Orange,Orange Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Downtown Crossing,place-dwnxg,24305,38712,8,3038,4839,11821,5041
1,Fall 2019,Orange,Orange Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Forest Hills,place-forhl,0,12742,8,0,1593,0,5042
1,Fall 2019,Orange,Orange Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Green Street,place-grnst,154,2960,8,19,370,1593,5043
1,Fall 2019,Orange,Orange Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Haymarket,place-haecl,11338,12136,8,1417,1517,12260,5044
1,Fall 2019,Orange,Orange Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Jackson Square,place-jaksn,915,5345,8,114,668,2374,5045
1,Fall 2019,Orange,Orange Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Massachusetts Ave.,place-masta,3670,21266,8,459,2658,5971,5046
1,Fall 2019,Orange,Orange Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Malden Center,place-mlmnl,30596,794,8,3825,99,5453,5047
1,Fall 2019,Orange,Orange Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,North Station,place-north,16098,8343,8,2012,1043,12360,5048
1,Fall 2019,Orange,Orange Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Oak Grove,place-ogmnl,13824,0,8,1728,0,1728,5049
1,Fall 2019,Orange,Orange Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Roxbury Crossing,place-rcmnl,1067,3261,8,133,408,2927,5050
1,Fall 2019,Orange,Orange Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Ruggles,place-rugg,2296,24450,8,287,3056,3202,5051
1,Fall 2019,Orange,Orange Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Stony Brook,place-sbmnl,247,3688,8,31,461,1944,5052
1,Fall 2019,Orange,Orange Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,State Street,place-state,25356,14461,8,3170,1808,13622,5053
1,Fall 2019,Orange,Orange Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Sullivan Square,place-sull,19600,3139,8,2450,392,11039,5054
1,Fall 2019,Orange,Orange Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Tufts Medical Center,place-tumnl,5076,11019,8,635,1377,10213,5055
1,Fall 2019,Orange,Orange Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Wellington,place-welln,19580,1261,8,2448,158,7743,5056
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Assembly,place-astao,44,2926,77,1,38,130,5057
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Back Bay,place-bbsta,1806,6187,77,23,80,395,5058
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Community College,place-ccmnl,35,2889,77,0,38,243,5059
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Chinatown,place-chncl,642,719,77,8,9,390,5060
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Downtown Crossing,place-dwnxg,10810,11839,77,140,154,376,5061
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Forest Hills,place-forhl,837,0,77,11,0,11,5062
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Green Street,place-grnst,3330,313,77,43,4,50,5063
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Haymarket,place-haecl,3183,4448,77,41,58,362,5064
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Jackson Square,place-jaksn,12926,16,77,168,0,282,5065
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Massachusetts Ave.,place-masta,3022,1274,77,39,17,452,5066
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Roxbury Crossing,place-rcmnl,9401,16436,77,122,213,2392,5067
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Ruggles,place-rugg,20838,15558,77,271,202,2460,5068
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Stony Brook,place-sbmnl,14911,659,77,194,9,2122,5069
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_09,NIGHT,Stony Brook,place-sbmnl,230,89,77,3,1,37,5070
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_02,EARLY_AM,State Street,place-state,24542,36380,77,319,472,1619,5071
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Sullivan Square,place-sull,3818,23547,77,50,306,600,5072
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_09,NIGHT,State Street,place-state,2585,6947,77,34,90,159,5073
